hidden_layers,activation,learning_rate,alpha,batch_size,dev_rmse,n_iter
"(128,)",tanh,0.0005,0.001,128,16.66835340938961,117
"(128,)",tanh,0.0005,0.01,32,16.711058885365354,68
"(128,)",tanh,0.0005,0.01,64,16.71892352724556,68
"(128,)",tanh,0.0005,0.01,128,16.668235371171182,117
"(128,)",tanh,0.0005,0.1,32,16.71025526841958,68
"(128,)",tanh,0.0005,0.1,64,16.719158863675432,68
"(128,)",tanh,0.0005,0.1,128,16.667278243885956,117
"(128,)",tanh,0.001,0.0001,32,16.473434932644217,42
"(128,)",tanh,0.001,0.0001,64,16.82984658994753,68
"(128,)",tanh,0.001,0.0001,128,16.76158751257806,68
"(128,)",tanh,0.001,0.001,32,16.47334764212472,42
"(128,)",tanh,0.001,0.001,64,16.829833749908303,68
"(128,)",tanh,0.001,0.001,128,16.761587994196457,68
"(128,)",tanh,0.001,0.01,32,16.47245141188805,42
"(128,)",tanh,0.001,0.01,64,16.829695924867767,68
"(128,)",tanh,0.001,0.01,128,16.761598235158445,68
"(128,)",tanh,0.001,0.1,32,16.463866207028754,42
"(128,)",tanh,0.001,0.1,64,16.645845745916443,50
"(128,)",tanh,0.001,0.1,128,16.761205333423828,68
"(128,)",tanh,0.005,0.0001,32,17.024462284535897,24
"(128,)",tanh,0.005,0.0001,64,16.89558539933015,24
"(128,)",tanh,0.005,0.0001,128,16.715429839402972,24
"(128,)",tanh,0.005,0.001,32,17.023929391283584,24
"(128,)",tanh,0.005,0.001,64,16.895611568542513,24
"(128,)",tanh,0.005,0.001,128,16.715401072440894,24
"(128,)",tanh,0.005,0.01,32,17.107776769131114,25
"(128,)",tanh,0.005,0.01,64,16.89606138299507,24
"(128,)",tanh,0.005,0.01,128,16.715124171214487,24
"(128,)",tanh,0.005,0.1,32,16.872492494249336,28
"(128,)",tanh,0.005,0.1,64,16.89566699853708,24
"(128,)",tanh,0.005,0.1,128,16.712358317756667,24
"(128,)",tanh,0.01,0.0001,32,17.159605403922885,28
"(128,)",tanh,0.01,0.0001,64,16.746466908602482,28
"(128,)",tanh,0.01,0.0001,128,16.717284392557797,24
"(128,)",tanh,0.01,0.001,32,17.00153916519925,36
"(128,)",tanh,0.01,0.001,64,16.756593944578626,28
"(128,)",tanh,0.01,0.001,128,16.717200389883462,24
"(128,)",tanh,0.01,0.01,32,17.206014782339764,25
"(128,)",tanh,0.01,0.01,64,16.563267805829014,19
"(128,)",tanh,0.01,0.01,128,16.718466994646636,24
"(128,)",tanh,0.01,0.1,32,16.994238883383822,18
"(128,)",tanh,0.01,0.1,64,17.13185477518273,35
"(128,)",tanh,0.01,0.1,128,16.71103296700701,24
"(256,)",relu,0.0001,0.0001,32,16.592044622879417,120
"(256,)",relu,0.0001,0.0001,64,16.583260024688187,117
"(256,)",relu,0.0001,0.0001,128,16.624601934801472,117
"(256,)",relu,0.0001,0.001,32,16.59108759271776,120
"(256,)",relu,0.0001,0.001,64,16.58364704264968,117
"(256,)",relu,0.0001,0.001,128,16.624396160149917,117
"(256,)",relu,0.0001,0.01,32,16.591359343200736,120
"(256,)",relu,0.0001,0.01,64,16.58319722791961,117
"(256,)",relu,0.0001,0.01,128,16.624777417807433,117
"(256,)",relu,0.0001,0.1,32,16.591612920746204,120
"(256,)",relu,0.0001,0.1,64,16.58131766139171,117
"(256,)",relu,0.0001,0.1,128,16.624423053824454,117
"(256,)",relu,0.0005,0.0001,32,16.56297954392327,50
"(256,)",relu,0.0005,0.0001,64,16.519167372958155,50
"(256,)",relu,0.0005,0.0001,128,16.471172930566027,55
"(256,)",relu,0.0005,0.001,32,16.556215840420176,50
"(256,)",relu,0.0005,0.001,64,16.52005014884013,50
"(256,)",relu,0.0005,0.001,128,16.58189726774767,55
"(256,)",relu,0.0005,0.01,32,16.55302593221859,50
"(256,)",relu,0.0005,0.01,64,16.774855345944722,62
"(256,)",relu,0.0005,0.01,128,16.471671337262137,55
"(256,)",relu,0.0005,0.1,32,16.534457180830625,50
"(256,)",relu,0.0005,0.1,64,16.766886895707664,62
"(256,)",relu,0.0005,0.1,128,16.46727857827326,55
"(256,)",relu,0.001,0.0001,32,16.61259964093218,21
"(256,)",relu,0.001,0.0001,64,16.609124490232645,50
"(256,)",relu,0.001,0.0001,128,16.425171966176265,50
"(256,)",relu,0.001,0.001,32,16.35494394276946,33
"(256,)",relu,0.001,0.001,64,16.42251218583578,33
